,key,label,description,parent_category,meta_label,ld
454,455,Suplencia,"“Son suplentes aquellos funcionarios designados en esa calidad en los cargos que se encuentren vacantes y en aquellos que por cualquier circunstancia no sean desempeñados por el titular, durante un lapso no inferior a quince días” (art. 4 EA).",,NC-DCC,"Suplencia - “Son suplentes aquellos funcionarios designados en esa calidad en los cargos que se encuentren vacantes y en aquellos que por cualquier circunstancia no sean desempeñados por el titular, durante un lapso no inferior a quince días” (art. 4 EA)."
455,456,Supremacía constitucional,"Es la manifestación del principio de superlegalidad formal y material de la Constitución. Es formal, porque la Constitución establece los procedimientos y competencias para producir derecho válido y vigente en una sociedad, regulando todas las fuentes del derecho y generando unidad en el sistema jurídico, de tal manera que no hay otras formas o procedimientos que los que la propia Carta Fundamental establece y que las leyes desarrollan. Es material, por otro lado, porque la Constitución condiciona sustancialmente la dirección política de la organización del poder democrático y vincula esta organización al cumplimiento, concretización y desarrollo de la carta de derechos fundamentales que ella contiene.",,NC-DCC,"Supremacía constitucional - Es la manifestación del principio de superlegalidad formal y material de la Constitución. Es formal, porque la Constitución establece los procedimientos y competencias para producir derecho válido y vigente en una sociedad, regulando todas las fuentes del derecho y generando unidad en el sistema jurídico, de tal manera que no hay otras formas o procedimientos que los que la propia Carta Fundamental establece y que las leyes desarrollan. Es material, por otro lado, porque la Constitución condiciona sustancialmente la dirección política de la organización del poder democrático y vincula esta organización al cumplimiento, concretización y desarrollo de la carta de derechos fundamentales que ella contiene."
456,457,Templo,Inmueble destinado exclusivamente a un culto religioso y que está exento del pago de contribuciones.,,NC-DCC,Templo - Inmueble destinado exclusivamente a un culto religioso y que está exento del pago de contribuciones.
457,458,Territorio,"Extensión geográfica terrestre, marítima y área en la cual se despliega la autoridad del Estado y se ejerce el poder. Es uno de los elementos del Estado, según la teoría clásica del mismo.",,NC-DCC,"Territorio - Extensión geográfica terrestre, marítima y área en la cual se despliega la autoridad del Estado y se ejerce el poder. Es uno de los elementos del Estado, según la teoría clásica del mismo."
458,459,Territorios especiales,"Zonas del país caracterizadas por la insularidad oceánica extrema, lo que impide su adecuado desarrollo social y económico, requiriendo del Estado un tratamiento especialísimo y preferencial, reconocido constitucionalmente. Son territorios especiales la Isla de Pascua y el Archipiélago de Juan Fernández.",,NC-DCC,"Territorios especiales - Zonas del país caracterizadas por la insularidad oceánica extrema, lo que impide su adecuado desarrollo social y económico, requiriendo del Estado un tratamiento especialísimo y preferencial, reconocido constitucionalmente. Son territorios especiales la Isla de Pascua y el Archipiélago de Juan Fernández."
459,460,Tesorería general de la repûblica,"Organismo público dependiente del Ministerio de Hacienda que se encarga de recaudar, custodiar y distribuir los fondos y valores fiscales, y en general, los de todos los servicios públicos. Asimismo, efectúa el pago de las obligaciones del Fisco, y otros que le encomienden las leyes.",,NC-DCC,"Tesorería general de la repûblica - Organismo público dependiente del Ministerio de Hacienda que se encarga de recaudar, custodiar y distribuir los fondos y valores fiscales, y en general, los de todos los servicios públicos. Asimismo, efectúa el pago de las obligaciones del Fisco, y otros que le encomienden las leyes."
460,461,Texto refundido sistematizado y coordinado de leyes,"Véase “Decreto con fuerza de ley” [Acto normativo dictado por el Presidente de la República, previa delegación del Congreso Nacional sobre materias expresamente autorizadas en la Constitución, en cuyo texto se contienen normas con fuerza y rango de ley. La autorización debe ser aprobada por la mayoría relativa de ambas Cámaras y su vigencia no puede ser superior a un año.].",,NC-DCC,"Texto refundido sistematizado y coordinado de leyes - Véase “Decreto con fuerza de ley” [Acto normativo dictado por el Presidente de la República, previa delegación del Congreso Nacional sobre materias expresamente autorizadas en la Constitución, en cuyo texto se contienen normas con fuerza y rango de ley. La autorización debe ser aprobada por la mayoría relativa de ambas Cámaras y su vigencia no puede ser superior a un año.]."
461,462,Tiempo de guerra,"La ley “entiende que hay estado deguerra, o que es tiempo de guerra, no sólo cuando ha sido declarada oficialmente la guerra o el estado de sitio, en conformidad a la Constitución y a la LOC No 18.415, sino también cuando de hecho existiere la guerra o se hubiere decretado la movilización de tropas para la misma, aunque no se haya hecho su declaración oficial.” (Art. 418 CJM, véase “Guerra”, “Declaración de guerra”).",,NC-DCC,"Tiempo de guerra - La ley “entiende que hay estado deguerra, o que es tiempo de guerra, no sólo cuando ha sido declarada oficialmente la guerra o el estado de sitio, en conformidad a la Constitución y a la LOC No 18.415, sino también cuando de hecho existiere la guerra o se hubiere decretado la movilización de tropas para la misma, aunque no se haya hecho su declaración oficial.” (Art. 418 CJM, véase “Guerra”, “Declaración de guerra”)."
462,463,Titularidad,La titularidad de derechos fundamentales corresponde a la condición jurídica de ser sujeto activo o beneficiario actual de algún derecho o libertad fundamental consagrada en la Constitución y/o en alguno de los tratados internacionales ratificados por Chile y que se encuentren vigentes.,,NC-DCC,Titularidad - La titularidad de derechos fundamentales corresponde a la condición jurídica de ser sujeto activo o beneficiario actual de algún derecho o libertad fundamental consagrada en la Constitución y/o en alguno de los tratados internacionales ratificados por Chile y que se encuentren vigentes.
463,464,Toma de razón,"Control jurídico previo, general y obligatorio de constitucionalidad y legalidad de los decretos, DFL y resoluciones, efectuado por la CGR y que constituye una etapa esencial de elaboración de un acto administrativo.",,NC-DCC,"Toma de razón - Control jurídico previo, general y obligatorio de constitucionalidad y legalidad de los decretos, DFL y resoluciones, efectuado por la CGR y que constituye una etapa esencial de elaboración de un acto administrativo."
464,465,Torcida administración de justicia,"Véase “Responsabilidad personal de los jueces” [La Constitución establece una regla especial en virtud de la cual los jueces son responsables personalmente “por los delitos de cohecho, falta de observancia en materia sustancial de las leyes que reglan el procedimiento, denegación y torcida administración de justicia y, en general, de toda prevaricación en que incurran en el desempeño de sus funciones” (art. 79).].",,NC-DCC,"Torcida administración de justicia - Véase “Responsabilidad personal de los jueces” [La Constitución establece una regla especial en virtud de la cual los jueces son responsables personalmente “por los delitos de cohecho, falta de observancia en materia sustancial de las leyes que reglan el procedimiento, denegación y torcida administración de justicia y, en general, de toda prevaricación en que incurran en el desempeño de sus funciones” (art. 79).]."
465,466,Tortura,"Todo acto por el cual se inflija intencionadamente a una persona dolores o sufrimientos graves, ya sean físicos o mentales, con el fin de obtener de ella o de un tercero información o una confesión, de castigarla por un acto que haya cometido, o se sospeche que ha cometido, o de intimidar o coaccionar a esa persona o a otras, o por cualquier razón basada en cualquier tipo de discriminación, cuando dichos dolores o sufrimientos sean infligidos por un funcionario público u otra persona en el ejercicio de funciones públicas, a instigación suya, o con su consentimiento o aquiescencia. No se considerarán torturas los dolores o sufrimientos que sean consecuencia únicamente de sanciones legítimas, o que sean inherentes o incidentales a estas (art. 1 de la CCTTPCID).",,NC-DCC,"Tortura - Todo acto por el cual se inflija intencionadamente a una persona dolores o sufrimientos graves, ya sean físicos o mentales, con el fin de obtener de ella o de un tercero información o una confesión, de castigarla por un acto que haya cometido, o se sospeche que ha cometido, o de intimidar o coaccionar a esa persona o a otras, o por cualquier razón basada en cualquier tipo de discriminación, cuando dichos dolores o sufrimientos sean infligidos por un funcionario público u otra persona en el ejercicio de funciones públicas, a instigación suya, o con su consentimiento o aquiescencia. No se considerarán torturas los dolores o sufrimientos que sean consecuencia únicamente de sanciones legítimas, o que sean inherentes o incidentales a estas (art. 1 de la CCTTPCID)."
466,467,Totalitarismo,"Ideología que propugna un sistema político en el que el Estado interviene en todas las esferas sociales –políticas, económicas o culturales– con absoluta prescindencia de mecanismos democráticos de gobierno y sin respetar derechos fundamentales, donde el individuo se subyuga completamente a los dictámenes de la colectividad. Ejemplos clásicos de sistemas totalitarios se encuentran en el nacionalsocialismo alemán y el fascismo italiano del siglo XX.",,NC-DCC,"Totalitarismo - Ideología que propugna un sistema político en el que el Estado interviene en todas las esferas sociales –políticas, económicas o culturales– con absoluta prescindencia de mecanismos democráticos de gobierno y sin respetar derechos fundamentales, donde el individuo se subyuga completamente a los dictámenes de la colectividad. Ejemplos clásicos de sistemas totalitarios se encuentran en el nacionalsocialismo alemán y el fascismo italiano del siglo XX."
467,468,Trabajadores,"La ley los define como “toda persona natural que preste servicios personales, intelectuales o materiales, bajo dependencia o subordinación, y en virtud de un contrato de trabajo. Se entienden como trabajadores independientes aquellos que en el ejercicio de la actividad de que se trate no dependen de empleador alguno ni tiene trabajadores bajo su dependencia” (art. 3 CT). Esta definición legal se aplica a los trabajadores dependientes regidos por el CT.",,NC-DCC,"Trabajadores - La ley los define como “toda persona natural que preste servicios personales, intelectuales o materiales, bajo dependencia o subordinación, y en virtud de un contrato de trabajo. Se entienden como trabajadores independientes aquellos que en el ejercicio de la actividad de que se trate no dependen de empleador alguno ni tiene trabajadores bajo su dependencia” (art. 3 CT). Esta definición legal se aplica a los trabajadores dependientes regidos por el CT."
468,469,Tráfico de estupefacientes,"La conducta ilegal hasido descrita como el inducir, promover o facilitar por cualquier medio el uso o consumo de drogas, estupefacientes y sustancias sicotrópicas, que producen dependencia física o síquica y que pueden causar graves efectos tóxicos o daños considerables a la salud pública [Politoff et al., 2009: 575].",,NC-DCC,"Tráfico de estupefacientes - La conducta ilegal hasido descrita como el inducir, promover o facilitar por cualquier medio el uso o consumo de drogas, estupefacientes y sustancias sicotrópicas, que producen dependencia física o síquica y que pueden causar graves efectos tóxicos o daños considerables a la salud pública [Politoff et al., 2009: 575]."
469,470,Transferencia de competencias,"Atribución estatal expresa, temporal o definitiva, en materias regionales o locales, de una o más potestades que corresponden al ámbito legal de una entidad pública o administrativa a otro organismo público para que éste la ejerza con la misma independencia y en la forma que prescriba la ley, constituyendo una excepción al principio de radicación de la competencia.",,NC-DCC,"Transferencia de competencias - Atribución estatal expresa, temporal o definitiva, en materias regionales o locales, de una o más potestades que corresponden al ámbito legal de una entidad pública o administrativa a otro organismo público para que éste la ejerza con la misma independencia y en la forma que prescriba la ley, constituyendo una excepción al principio de radicación de la competencia."
470,471,Tratados internacionales,"La Convención de Viena sobre Derecho de los Tratados define “tratado” como “un acuerdo internacional celebrado por escrito entre Estados y regido por el derecho internacional, ya conste en un instrumento único o en dos o más instrumentos conexos y cualquiera que sea su denominación particular” (art. 2.1.a), Convención de Viena sobre Derecho de los Tratados, suscrita por el Estado chileno el 23 de mayo de 1969, y aprobada como ley el 22 de junio de 1981). En el caso de organizaciones internacionales se establece básicamente la misma definición. La diferencia está dada porque el acuerdo puede ser “entre uno o varios Estados y una o varias organizaciones internacionales” o “entre organizaciones internacionales” (art. 1.a), Convención de Viena sobre Derecho de los Tratados celebrados entre Estados y Organizaciones Internacionales o entre Organizaciones Internacionales). Estos acuerdos generan derechos y obligaciones que se rigen por el derecho internacional y cuyo incumplimiento puede generar responsabilidad internacional del Estado.",,NC-DCC,"Tratados internacionales - La Convención de Viena sobre Derecho de los Tratados define “tratado” como “un acuerdo internacional celebrado por escrito entre Estados y regido por el derecho internacional, ya conste en un instrumento único o en dos o más instrumentos conexos y cualquiera que sea su denominación particular” (art. 2.1.a), Convención de Viena sobre Derecho de los Tratados, suscrita por el Estado chileno el 23 de mayo de 1969, y aprobada como ley el 22 de junio de 1981). En el caso de organizaciones internacionales se establece básicamente la misma definición. La diferencia está dada porque el acuerdo puede ser “entre uno o varios Estados y una o varias organizaciones internacionales” o “entre organizaciones internacionales” (art. 1.a), Convención de Viena sobre Derecho de los Tratados celebrados entre Estados y Organizaciones Internacionales o entre Organizaciones Internacionales). Estos acuerdos generan derechos y obligaciones que se rigen por el derecho internacional y cuyo incumplimiento puede generar responsabilidad internacional del Estado."
471,472,Tratados internacionales de derechos humanos,Conjunto de tratados internacionales que establecen obligaciones de derecho internacional en relación a la consagración de derechos humanos y al establecimiento de garantías de los mismos.,,NC-DCC,Tratados internacionales de derechos humanos - Conjunto de tratados internacionales que establecen obligaciones de derecho internacional en relación a la consagración de derechos humanos y al establecimiento de garantías de los mismos.
472,473,Tribunal,"Órgano estatal creado por ley cuya principal potestad es ejercer la función jurisdiccional [Correa, 2005: 88]. Detentor exclusivo de la facultad de conocer, resolver y ejecutar lo juzgado en causas civiles y criminales (art. 76), habiendo sido establecido por ley con anterioridad a la perpetración del hecho (art. 19 n. 3 inc. 5°). Su organización y atribuciones son determinadas a través de ley orgánica constitucional (art. 77; véase “Ley orgánica constitucional”). Constituye el antónimo del concepto constitucional de comisiones especiales (art. 19 n. 3 inc. 5°).",,NC-DCC,"Tribunal - Órgano estatal creado por ley cuya principal potestad es ejercer la función jurisdiccional [Correa, 2005: 88]. Detentor exclusivo de la facultad de conocer, resolver y ejecutar lo juzgado en causas civiles y criminales (art. 76), habiendo sido establecido por ley con anterioridad a la perpetración del hecho (art. 19 n. 3 inc. 5°). Su organización y atribuciones son determinadas a través de ley orgánica constitucional (art. 77; véase “Ley orgánica constitucional”). Constituye el antónimo del concepto constitucional de comisiones especiales (art. 19 n. 3 inc. 5°)."
473,474,Tribunal Calificador de Elecciones,"Es el órgano jurisdiccional nacional especializado en materia electoral, situado al margen del Poder Judicial, con autonomía constitucional y cuyo objeto es conocer el escrutinio general, calificar elecciones nacionales, resolver reclamaciones y proclamar los elegidos.",,NC-DCC,"Tribunal Calificador de Elecciones - Es el órgano jurisdiccional nacional especializado en materia electoral, situado al margen del Poder Judicial, con autonomía constitucional y cuyo objeto es conocer el escrutinio general, calificar elecciones nacionales, resolver reclamaciones y proclamar los elegidos."
474,475,Tribunal Constitucional,"Es un órgano constitucionalmente autónomo, que cuenta con las mayores competencias para ejercer el control de la supremacía constitucional máxima en nuestro ordenamiento, según lo dispuesto por la Constitución y las leyes, resolviendo conflictos político-constitucionales y ejerciendo otras competencias jurídicas como un órgano colegiado de derecho.",,NC-DCC,"Tribunal Constitucional - Es un órgano constitucionalmente autónomo, que cuenta con las mayores competencias para ejercer el control de la supremacía constitucional máxima en nuestro ordenamiento, según lo dispuesto por la Constitución y las leyes, resolviendo conflictos político-constitucionales y ejerciendo otras competencias jurídicas como un órgano colegiado de derecho."
475,476,Tribunales Electorales Regionales,"Órganos jurisdiccionales regionales especializados en materia electoral, situado al margen del Poder Judicial, con autonomía constitucional y cuyo objeto es conocer el escrutinio general, la calificación de elecciones, la resolución de reclamaciones y la proclamación de los elegidos en las elecciones que determine la ley.",,NC-DCC,"Tribunales Electorales Regionales - Órganos jurisdiccionales regionales especializados en materia electoral, situado al margen del Poder Judicial, con autonomía constitucional y cuyo objeto es conocer el escrutinio general, la calificación de elecciones, la resolución de reclamaciones y la proclamación de los elegidos en las elecciones que determine la ley."
476,477,Tribunales Militares,"Es el órgano público establecido por la ley, para los efectos de ejercer la función jurisdiccional penal militar, a través del debido proceso, en los asuntos que la ley ha determinado de su competencia.",,NC-DCC,"Tribunales Militares - Es el órgano público establecido por la ley, para los efectos de ejercer la función jurisdiccional penal militar, a través del debido proceso, en los asuntos que la ley ha determinado de su competencia."
477,478,Tribunales Superiores de Justicia,"Si bien no existe una ley que así lo establezca, se ha entendido tanto en la doctrina procesal como constitucional, que los tribunales superiores de justicia se constituyen por la Corte Suprema y las Cortes de Apelaciones. Algunos autores incluyen también a las Cortes Marciales y la Corte Naval [Zúñiga, 2003: 651; Silva Bascuñán, 2000, t. VI: 160]. “No revisten, entre tanto, la calidad constitucional en estudio los miembros del Tribunal Calificador de Elecciones, según lo reconoció, durante la vigencia de la Carta precedente, la Cámara de Diputados, al desechar, el 31 de mayo de 1961, al acusación formulada en contra de los señores Osvaldo Illanes Benítez, Ministro de la Corte Suprema, y Miguel González Castillo, Ministro de la Corte de Santiago, que integraban ese organismo” [Silva Bascuñán, 2000, t. VI: 160-1].",,NC-DCC,"Tribunales Superiores de Justicia - Si bien no existe una ley que así lo establezca, se ha entendido tanto en la doctrina procesal como constitucional, que los tribunales superiores de justicia se constituyen por la Corte Suprema y las Cortes de Apelaciones. Algunos autores incluyen también a las Cortes Marciales y la Corte Naval [Zúñiga, 2003: 651; Silva Bascuñán, 2000, t. VI: 160]. “No revisten, entre tanto, la calidad constitucional en estudio los miembros del Tribunal Calificador de Elecciones, según lo reconoció, durante la vigencia de la Carta precedente, la Cámara de Diputados, al desechar, el 31 de mayo de 1961, al acusación formulada en contra de los señores Osvaldo Illanes Benítez, Ministro de la Corte Suprema, y Miguel González Castillo, Ministro de la Corte de Santiago, que integraban ese organismo” [Silva Bascuñán, 2000, t. VI: 160-1]."
478,479,Tributo,"Exacción pecuniaria establecida por ley en beneficio fiscal, con el objeto de financiar el gasto público u otros fines de bien común.",,NC-DCC,"Tributo - Exacción pecuniaria establecida por ley en beneficio fiscal, con el objeto de financiar el gasto público u otros fines de bien común."
479,480,Unidades vecinales,"Territorio, determinado en conformidad a las atribuciones esenciales de las Municipalidades, en que se subdividen las comunas para efectos de descentralizar asuntos locales, propender a un desarrollo equilibrado y a una adecuada canalización de la participación ciudadana (art. 5 letra j) LOC MUN y art. 2 letra a) L.19.418).",,NC-DCC,"Unidades vecinales - Territorio, determinado en conformidad a las atribuciones esenciales de las Municipalidades, en que se subdividen las comunas para efectos de descentralizar asuntos locales, propender a un desarrollo equilibrado y a una adecuada canalización de la participación ciudadana (art. 5 letra j) LOC MUN y art. 2 letra a) L.19.418)."
480,481,Universidades,"Instituciones autónomas de educación superior que, reconocidas oficialmente por el Estado, otorgan títulos profesionales y grados académicos.",,NC-DCC,"Universidades - Instituciones autónomas de educación superior que, reconocidas oficialmente por el Estado, otorgan títulos profesionales y grados académicos."
481,482,Urgencia,"Calificación que efectúa el Presidente de la República sobre un proyecto de ley, que fija un plazo para el cumplimiento íntegro del trámite constitucional de formación de la ley que corresponda. La urgencia constituye una obligación para la Cámara que abarca la discusión y votación del proyecto de ley en conformidad con el plazo establecido en la LOC CN.",,NC-DCC,"Urgencia - Calificación que efectúa el Presidente de la República sobre un proyecto de ley, que fija un plazo para el cumplimiento íntegro del trámite constitucional de formación de la ley que corresponda. La urgencia constituye una obligación para la Cámara que abarca la discusión y votación del proyecto de ley en conformidad con el plazo establecido en la LOC CN."
482,483,Vacancia legal,"También se le conoce como vacatio legis. Es el período de tiempo en el cual una ley que, no obstante haber sido publicada, no posee fuerza obligatoria para sus destinatarios, por el establecimiento legal de un plazo o una condición.",,NC-DCC,"Vacancia legal - También se le conoce como vacatio legis. Es el período de tiempo en el cual una ley que, no obstante haber sido publicada, no posee fuerza obligatoria para sus destinatarios, por el establecimiento legal de un plazo o una condición."
483,484,Vacancia parlamentaria,"La vacancia corresponde a aquella hipótesis en que el cargo de diputado o senador queda libre y, frente a ello, la Constitución establece las reglas que habilitan a proveer un reemplazante (art. 51 inc. 3°, 4° y 5°).",,NC-DCC,"Vacancia parlamentaria - La vacancia corresponde a aquella hipótesis en que el cargo de diputado o senador queda libre y, frente a ello, la Constitución establece las reglas que habilitan a proveer un reemplazante (art. 51 inc. 3°, 4° y 5°)."
484,485,Veto,"Facultad concedida al Presidente de la República, en virtud de su calidad de colegislador, mediante la cual puede solicitar a la Cámara de origen o revisora que considere nuevamente el proyecto rechazado o enmendado en primer o segundo trámite constitucional, según corresponda.",,NC-DCC,"Veto - Facultad concedida al Presidente de la República, en virtud de su calidad de colegislador, mediante la cual puede solicitar a la Cámara de origen o revisora que considere nuevamente el proyecto rechazado o enmendado en primer o segundo trámite constitucional, según corresponda."
485,486,Vicepresidente de la república,"Subrogación regulada en la Constitución, mediante la cual una autoridad predeterminada asume el mando de la Nación, en caso de impedimento del Presidente de la República electo para tomar posesión del cargo, o del Presidente de la República en ejercicio, en caso de impedimentos temporales o absolutos que originen su ausencia.",,NC-DCC,"Vicepresidente de la república - Subrogación regulada en la Constitución, mediante la cual una autoridad predeterminada asume el mando de la Nación, en caso de impedimento del Presidente de la República electo para tomar posesión del cargo, o del Presidente de la República en ejercicio, en caso de impedimentos temporales o absolutos que originen su ausencia."
486,487,Votación de proyectos de ley,"Procedimiento legislativo a través del cual los diputados y/o senadores, según corresponda, aprueban o rechazan un proyecto de ley, en parte o en su totalidad.",,NC-DCC,"Votación de proyectos de ley - Procedimiento legislativo a través del cual los diputados y/o senadores, según corresponda, aprueban o rechazan un proyecto de ley, en parte o en su totalidad."
487,488,Votaciones populares,"Son los procesos electorales conducentes a la nominación de candidatos, a la elección de cargos públicos, a la introducción o rechazo de enmiendas constitucionales así como a materias de afectación comunal.",,NC-DCC,"Votaciones populares - Son los procesos electorales conducentes a la nominación de candidatos, a la elección de cargos públicos, a la introducción o rechazo de enmiendas constitucionales así como a materias de afectación comunal."
488,489,Zona contigua,"Véase “Territorio” [Extensión geográfica terrestre, marítima y área en la cual se despliega la autoridad del Estado y se ejerce el poder. Es uno de los elementos del Estado, según la teoría clásica del mismo.].",,NC-DCC,"Zona contigua - Véase “Territorio” [Extensión geográfica terrestre, marítima y área en la cual se despliega la autoridad del Estado y se ejerce el poder. Es uno de los elementos del Estado, según la teoría clásica del mismo.]."
489,490,Zona económica exclusiva,"Véase “Territorio” [Extensión geográfica terrestre, marítima y área en la cual se despliega la autoridad del Estado y se ejerce el poder. Es uno de los elementos del Estado, según la teoría clásica del mismo.].",,NC-DCC,"Zona económica exclusiva - Véase “Territorio” [Extensión geográfica terrestre, marítima y área en la cual se despliega la autoridad del Estado y se ejerce el poder. Es uno de los elementos del Estado, según la teoría clásica del mismo.]."
0,1,Achievement-based acquisition of citizenship,"Acquisition of citizenship after birth based on special achievements (in sports, science, the arts, etc.). Can be based on achievements in the past or expected achievements in the future.",,GLOBALCIT-GLO,"Achievement-based acquisition of citizenship - Acquisition of citizenship after birth based on special achievements (in sports, science, the arts, etc.). Can be based on achievements in the past or expected achievements in the future."
1,2,Acquisition of citizenship,"Becoming a citizen, whether by birth or at any time after birth, whether by automatic attribution, by individual declaration, registration, option or application, or by non-automatic attribution by public authorities.",,GLOBALCIT-GLO,"Acquisition of citizenship - Becoming a citizen, whether by birth or at any time after birth, whether by automatic attribution, by individual declaration, registration, option or application, or by non-automatic attribution by public authorities."
2,3,Acquisition of citizenship after birth,"Acquisition of citizenship that does not take place automatically and immediately at birth; or soon after birth by declaration, registration, making use of an option or similar action, on the basis of conditions for the acquisition that were met already at the time of birth.",,GLOBALCIT-GLO,"Acquisition of citizenship after birth - Acquisition of citizenship that does not take place automatically and immediately at birth; or soon after birth by declaration, registration, making use of an option or similar action, on the basis of conditions for the acquisition that were met already at the time of birth."
3,4,Acquisition of citizenship at birth,"Acquisition of citizenship that either occurs automatically (ex lege) and immediately at birth; or can occur immediately after birth by declaration, registration, making use of an option or similar action because all the conditions for acquisition had already been met at the time of birth.",,GLOBALCIT-GLO,"Acquisition of citizenship at birth - Acquisition of citizenship that either occurs automatically (ex lege) and immediately at birth; or can occur immediately after birth by declaration, registration, making use of an option or similar action because all the conditions for acquisition had already been met at the time of birth."
4,5,Acquisition of citizenship by adoption,Automatic acquisition of citizenship as a result of the adoption of the person concerned by a reference person who is a national of the country under consideration.,,GLOBALCIT-GLO,Acquisition of citizenship by adoption - Automatic acquisition of citizenship as a result of the adoption of the person concerned by a reference person who is a national of the country under consideration.
5,6,Acquisition of citizenship by application,Acquisition of citizenship that requires an application by the person or his or her legal representative that initiates a procedure during which the public authorities have to assess criteria for granting citizenship.,,GLOBALCIT-GLO,Acquisition of citizenship by application - Acquisition of citizenship that requires an application by the person or his or her legal representative that initiates a procedure during which the public authorities have to assess criteria for granting citizenship.
6,7,Acquisition of citizenship by conferment,"Used in some countries for certain modes of acquisition of citizenship characterised by: non-automatic acquisition; and requiring not only an expression of intent by the person or his or her legal representative, but also an act by the responsible public authority.",,GLOBALCIT-GLO,"Acquisition of citizenship by conferment - Used in some countries for certain modes of acquisition of citizenship characterised by: non-automatic acquisition; and requiring not only an expression of intent by the person or his or her legal representative, but also an act by the responsible public authority."
7,8,Acquisition of citizenship by declaration,"Acquisition of citizenship by declaration is generally characterised by: facilitated procedure and conditions; voluntary acquisition; and/or the need for an oral or written declaration (by the person or by his/her legal representative) addressed to the relevant public authorities. In some countries, declaration is regarded as a unilateral act by the person concerned with immediate effect.",,GLOBALCIT-GLO,"Acquisition of citizenship by declaration - Acquisition of citizenship by declaration is generally characterised by: facilitated procedure and conditions; voluntary acquisition; and/or the need for an oral or written declaration (by the person or by his/her legal representative) addressed to the relevant public authorities. In some countries, declaration is regarded as a unilateral act by the person concerned with immediate effect."
8,9,Acquisition of citizenship by descent,"The determination of a person's citizenship on the basis of the citizenship of his or her parents (or one parent or one particular parent) or ancestor(s) in direct line at the time of the person's birth or at the time of acquisition of citizenship by the person (the two points in time are different in cases of acquisition after birth). Ancestry-based ius sanguinis may, e.g. provide for the extraterritorial acquisition of citizenship after birth if an emigrant grandparent had never renounced his or her citizenship of origin. GLOBALCIT uses the term ius sanguinis in a broad way that covers not only automatic acquisition at birth, but also non-automatic acquisition at birth and after birth. Ius sanguinis generally applies to legal parenthood (in cases where legal parenthood differs from biological parenthood). We distinguish between territorial ius sanguinis in the country and extraterritorial ius sanguinis for children born abroad.",,GLOBALCIT-GLO,"Acquisition of citizenship by descent - The determination of a person's citizenship on the basis of the citizenship of his or her parents (or one parent or one particular parent) or ancestor(s) in direct line at the time of the person's birth or at the time of acquisition of citizenship by the person (the two points in time are different in cases of acquisition after birth). Ancestry-based ius sanguinis may, e.g. provide for the extraterritorial acquisition of citizenship after birth if an emigrant grandparent had never renounced his or her citizenship of origin. GLOBALCIT uses the term ius sanguinis in a broad way that covers not only automatic acquisition at birth, but also non-automatic acquisition at birth and after birth. Ius sanguinis generally applies to legal parenthood (in cases where legal parenthood differs from biological parenthood). We distinguish between territorial ius sanguinis in the country and extraterritorial ius sanguinis for children born abroad."
9,10,Acquisition of citizenship by legitimation,Automatic acquisition of citizenship by a child born out of wedlock based on legitimation (i.e. legal recognition of paternity) by a father who is a citizen of the country under consideration.,,GLOBALCIT-GLO,Acquisition of citizenship by legitimation - Automatic acquisition of citizenship by a child born out of wedlock based on legitimation (i.e. legal recognition of paternity) by a father who is a citizen of the country under consideration.
10,11,Acquisition of citizenship by registration,Acquisition of citizenship that comes into effect through an act of registration with the public authorities by the person or his or her legal representative. It is characterised by: a facilitated procedure and (substantially) facilitated conditions; voluntary acquisition; and a unilateral act by the person making use of the option.,,GLOBALCIT-GLO,Acquisition of citizenship by registration - Acquisition of citizenship that comes into effect through an act of registration with the public authorities by the person or his or her legal representative. It is characterised by: a facilitated procedure and (substantially) facilitated conditions; voluntary acquisition; and a unilateral act by the person making use of the option.
11,12,Acquisition of citizenship otherwise than by descent,Citizenship gained by naturalisation or ius soli.,,GLOBALCIT-GLO,Acquisition of citizenship otherwise than by descent - Citizenship gained by naturalisation or ius soli.
12,13,Acquisition/retaining of citizenship by option,"Acquisition of citizenship by option is characterised by: a facilitated procedure and (substantially) facilitated conditions; voluntary acquisition; and, in some countries by a unilateral act of the person making use of the option, the need for the person or his or her legal representative to choose one of two (or more) alternative nationalities that the person could acquire at birth or wishes to retain after birth.",,GLOBALCIT-GLO,"Acquisition/retaining of citizenship by option - Acquisition of citizenship by option is characterised by: a facilitated procedure and (substantially) facilitated conditions; voluntary acquisition; and, in some countries by a unilateral act of the person making use of the option, the need for the person or his or her legal representative to choose one of two (or more) alternative nationalities that the person could acquire at birth or wishes to retain after birth."
13,14,Active registration,Voter registration system in which eligible voters are not registered automatically but need to apply to be registered in the electoral roll.,,GLOBALCIT-GLO,Active registration - Voter registration system in which eligible voters are not registered automatically but need to apply to be registered in the electoral roll.
14,15,Active voting rights,"Usually refers to 'active voting rights', i.e., the right to cast a vote in an election.",,GLOBALCIT-GLO,"Active voting rights - Usually refers to 'active voting rights', i.e., the right to cast a vote in an election."
